n,mu,sigma,best_beta
4,200,50,0.7461282552275759
4,200,100,0.7461282552275759
4,200,150,0.5969026041820606
4,200,200,0.6501974795554588
8,0,10,0.24515642671763205
8,0,20,0.22383847656827277
8,0,30,0.27713335194167105
8,0,50,0.33042822731506927
8,0,100,0.24515642671763205
8,0,150,0.1705436011948745
8,0,200,0.021317950149359312
8,10,10,0.5222897786593031
8,10,20,0.5436077288086624
8,10,30,0.35174617746442866
8,10,50,0.4689949032859048
8,10,100,0.20252052641891344
8,10,150,0.2344974516429524
8,10,200,0.1918615513442338
8,20,10,0.7461282552275759
8,20,20,0.6075615792567403
8,20,30,0.5542667038833422
8,20,50,0.30911027716571
8,20,100,0.3624051525391083
8,20,150,0.5009718285099438
8,20,200,0.12790770089615586
8,30,10,0.7461282552275759
8,30,20,0.7354692801528963
8,30,30,0.47965387836058443
8,30,50,0.40504105283782693
8,30,100,0.10658975074679655
8,30,150,0.45833592821122515
8,30,200,0.22383847656827277
8,50,10,0.7461282552275759
8,50,20,0.7461282552275759
8,50,30,0.7461282552275759
8,50,50,0.5436077288086624
8,50,100,0.31976925224038966
8,50,150,0.341087202389749
8,50,200,0.2558154017923117
8,100,10,0.7461282552275759
8,100,20,0.7461282552275759
8,100,30,0.7461282552275759
8,100,50,0.7461282552275759
8,100,100,0.45833592821122515
8,100,150,0.4689949032859048
8,100,200,0.4796538783605845
8,150,10,0.7461282552275759
8,150,20,0.7461282552275759
8,150,30,0.7461282552275759
8,150,50,0.7461282552275759
8,150,100,0.586243629107381
8,150,150,0.6501974795554589
8,150,200,0.45833592821122515
8,200,10,0.7461282552275759
8,200,20,0.7461282552275759
8,200,30,0.7461282552275759
8,200,50,0.7461282552275759
8,200,100,0.7248103050782166
8,200,150,0.682174404779498
8,200,200,0.5969026041820606
16,0,10,0.14922565104551516
16,0,20,0.2131795014935931
16,0,30,0.08527180059743725
16,0,50,0.2131795014935931
16,0,100,0.2344974516429524
16,0,150,0.1705436011948745
16,0,200,0.2344974516429524
16,10,10,0.4476769531365455
16,10,20,0.39438207776314727
16,10,30,0.24515642671763205
16,10,50,0.12790770089615586
16,10,100,0.2344974516429524
16,10,150,0.10658975074679655
16,10,200,0.0959307756721169
16,20,10,0.6608564546301385
16,20,20,0.45833592821122515
16,20,30,0.5436077288086624
16,20,50,0.44767695313654554
16,20,100,0.18120257626955413
16,20,150,0.18120257626955413
16,20,200,0.10658975074679655
16,30,10,0.7461282552275759
16,30,20,0.682174404779498
16,30,30,0.4796538783605845
16,30,50,0.2984513020910303
16,30,100,0.1705436011948745
16,30,150,0.07461282552275758
16,30,200,0.15988462612019483
16,50,10,0.7461282552275759
16,50,20,0.7248103050782164
16,50,30,0.6715154297048183
16,50,50,0.4796538783605845
16,50,100,0.27713335194167105
16,50,150,0.10658975074679655
16,50,200,0.1918615513442338
16,100,10,0.7461282552275759
16,100,20,0.7461282552275759
16,100,30,0.7461282552275759
16,100,50,0.7461282552275759
16,100,100,0.3837231026884676
16,100,150,0.3943820777631472
16,100,200,0.4370179780618658
16,150,10,0.7461282552275759
16,150,20,0.7461282552275759
16,150,30,0.7461282552275759
16,150,50,0.7461282552275759
16,150,100,0.6501974795554588
16,150,150,0.4796538783605845
16,150,200,0.3943820777631472
16,200,10,0.7461282552275759
16,200,20,0.7461282552275759
16,200,30,0.7461282552275759
16,200,50,0.7461282552275759
16,200,100,0.735469280152896
16,200,150,0.5755846540327013
16,200,200,0.5649256789580217
32,0,10,0.14922565104551516
32,0,20,0.13856667597083552
32,0,30,0.12790770089615586
32,0,50,0.010658975074679656
32,0,100,0.1705436011948745
32,0,150,0.08527180059743725
32,0,200,0.031976925224038964
32,10,10,0.4796538783605845
32,10,20,0.2344974516429524
32,10,30,0.1705436011948745
32,10,50,0.12790770089615586
32,10,100,0.07461282552275758
32,10,150,0.20252052641891344
32,10,200,0.08527180059743725
32,20,10,0.7461282552275759
32,20,20,0.3837231026884676
32,20,30,0.37306412761378793
32,20,50,0.2664743768669914
32,20,100,0.0959307756721169
32,20,150,0.14922565104551516
32,20,200,0.1172487258214762
32,30,10,0.7461282552275759
32,30,20,0.5436077288086624
32,30,30,0.4796538783605845
32,30,50,0.3197692522403896
32,30,100,0.22383847656827277
32,30,150,0.14922565104551516
32,30,200,0.12790770089615586
32,50,10,0.7461282552275759
32,50,20,0.735469280152896
32,50,30,0.6075615792567404
32,50,50,0.4796538783605845
32,50,100,0.27713335194167105
32,50,150,0.20252052641891344
32,50,200,0.12790770089615586
32,100,10,0.7461282552275759
32,100,20,0.7461282552275759
32,100,30,0.7461282552275759
32,100,50,0.7034923549288572
32,100,100,0.373064127613788
32,100,150,0.37306412761378793
32,100,200,0.37306412761378793
32,150,10,0.7461282552275759
32,150,20,0.7461282552275759
32,150,30,0.7461282552275759
32,150,50,0.735469280152896
32,150,100,0.650197479555459
32,150,150,0.4050410528378269
32,150,200,0.3837231026884676
32,200,10,0.7461282552275759
32,200,20,0.7461282552275759
32,200,30,0.7461282552275759
32,200,50,0.7461282552275759
32,200,100,0.6715154297048181
32,200,150,0.4903128534352641
32,200,200,0.4903128534352642
64,0,10,0.08527180059743725
64,0,20,0.13856667597083552
64,0,30,0.14922565104551516
64,0,50,0.06395385044807793
64,0,100,0.24515642671763205
64,0,150,0.06395385044807793
64,0,200,0.053294875373398276
64,10,10,0.5009718285099438
64,10,20,0.3197692522403897
64,10,30,0.10658975074679655
64,10,50,0.13856667597083552
64,10,100,0.06395385044807793
64,10,150,0.15988462612019483
64,10,200,0.14922565104551516
64,20,10,0.6715154297048181
64,20,20,0.3837231026884676
64,20,30,0.39438207776314727
64,20,50,0.1918615513442338
64,20,100,0.14922565104551516
64,20,150,0.10658975074679655
64,20,200,0.031976925224038964
64,30,10,0.7461282552275759
64,30,20,0.6288795294060996
64,30,30,0.37306412761378793
64,30,50,0.2664743768669914
